-0.999956,-0.000447,0.009329,-0.000341,0.099805,1.917406,-0.000093
-0.999999,-0.000943,-0.000258,-0.000350,0.099805,1.917406,0.000194
-0.999950,-0.001438,-0.009845,-0.000361,0.099803,1.917406,0.000482
-0.999809,-0.001934,-0.019431,-0.000373,0.099801,1.917406,0.000769
-0.999576,-0.002429,-0.029016,-0.000386,0.099797,1.917407,0.001056
-0.999250,-0.002924,-0.038597,-0.000401,0.099792,1.917407,0.001343
-0.998833,-0.003419,-0.048176,-0.000417,0.099786,1.917407,0.001630
-0.998323,-0.003914,-0.057749,-0.000435,0.099779,1.917407,0.001917
-0.997722,-0.004408,-0.067318,-0.000454,0.099771,1.917407,0.002204
-0.997028,-0.004902,-0.076880,-0.000474,0.099761,1.917407,0.002491
-0.996243,-0.005396,-0.086435,-0.000496,0.099751,1.917407,0.002777
-0.995365,-0.005889,-0.095982,-0.000519,0.099739,1.917407,0.003064
-0.994396,-0.006381,-0.105521,-0.000544,0.099726,1.917408,0.003351
-0.993336,-0.006873,-0.115049,-0.000570,0.099712,1.917408,0.003638
-0.992184,-0.007365,-0.124567,-0.000597,0.099697,1.917408,0.003925
-0.990940,-0.007856,-0.134074,-0.000626,0.099680,1.917408,0.004211
-0.989605,-0.008346,-0.143568,-0.000656,0.099663,1.917409,0.004498
-0.988179,-0.008836,-0.153050,-0.000687,0.099644,1.917409,0.004785
-0.986661,-0.009325,-0.162517,-0.000720,0.099624,1.917409,0.005071
-0.985053,-0.009814,-0.171969,-0.000754,0.099603,1.917410,0.005358
-0.983354,-0.010301,-0.181405,-0.000789,0.099581,1.917410,0.005644
-0.981564,-0.010788,-0.190825,-0.000826,0.099557,1.917410,0.005931
-0.979684,-0.011274,-0.200227,-0.000865,0.099533,1.917411,0.006217
-0.977714,-0.011759,-0.209611,-0.000904,0.099507,1.917411,0.006503
-0.975653,-0.012243,-0.218975,-0.000945,0.099480,1.917411,0.006789
-0.973503,-0.012726,-0.228319,-0.000987,0.099452,1.917412,0.007075
-0.971262,-0.013208,-0.237643,-0.001031,0.099423,1.917412,0.007361
-0.968932,-0.013690,-0.246944,-0.001076,0.099393,1.917413,0.007647
-0.966513,-0.014170,-0.256223,-0.001122,0.099362,1.917413,0.007933
-0.964005,-0.014649,-0.265478,-0.001170,0.099329,1.917414,0.008219
-0.961408,-0.015127,-0.274709,-0.001218,0.099295,1.917414,0.008504
-0.958722,-0.015603,-0.283914,-0.001269,0.099260,1.917415,0.008790
-0.955948,-0.016079,-0.293093,-0.001320,0.099224,1.917415,0.009075
-0.953085,-0.016553,-0.302246,-0.001373,0.099187,1.917416,0.009361
-0.950135,-0.017026,-0.311370,-0.001427,0.099149,1.917416,0.009646
-0.947097,-0.017498,-0.320466,-0.001482,0.099109,1.917417,0.009931
-0.943972,-0.017968,-0.329533,-0.001539,0.099068,1.917418,0.010216
-0.940760,-0.018437,-0.338569,-0.001597,0.099027,1.917418,0.010501
-0.937461,-0.018905,-0.347574,-0.001656,0.098984,1.917419,0.010786
-0.934075,-0.019371,-0.356547,-0.001716,0.098940,1.917420,0.011070
-0.930603,-0.019835,-0.365487,-0.001778,0.098894,1.917420,0.011355
