0.723020,0.037346,0.689985,0.004341,0.096360,1.880292,0.022567
0.716483,0.037730,0.696758,0.004441,0.096270,1.880294,0.022839
0.709882,0.038111,0.703470,0.004543,0.096179,1.880295,0.023110
0.703218,0.038490,0.710119,0.004645,0.096087,1.880296,0.023381
0.696492,0.038866,0.716706,0.004749,0.095994,1.880298,0.023652
0.689704,0.039239,0.723229,0.004853,0.095900,1.880299,0.023923
0.682854,0.039609,0.729688,0.004958,0.095805,1.880301,0.024193
0.675944,0.039976,0.736083,0.005064,0.095708,1.880302,0.024463
0.668974,0.040341,0.742412,0.005170,0.095611,1.880304,0.024733
0.661945,0.040702,0.748676,0.005278,0.095512,1.880305,0.025003
0.654857,0.041061,0.754874,0.005386,0.095413,1.880307,0.025272
0.647711,0.041416,0.761005,0.005495,0.095312,1.880308,0.025541
0.640507,0.041769,0.767069,0.005605,0.095211,1.880310,0.025810
0.633247,0.042119,0.773064,0.005716,0.095108,1.880311,0.026078
0.625930,0.042466,0.778992,0.005827,0.095004,1.880313,0.026346
0.618557,0.042809,0.784850,0.005939,0.094899,1.880314,0.026614
0.611130,0.043150,0.790640,0.006052,0.094794,1.880316,0.026881
0.603649,0.043487,0.796359,0.006165,0.094687,1.880318,0.027149
0.596113,0.043822,0.802008,0.006279,0.094579,1.880319,0.027415
0.588525,0.044153,0.807585,0.006394,0.094470,1.880321,0.027682
0.580885,0.044481,0.813092,0.006509,0.094359,1.880322,0.027948
0.573193,0.044806,0.818526,0.006625,0.094248,1.880324,0.028214
0.565450,0.045127,0.823888,0.006742,0.094136,1.880326,0.028480
0.557657,0.045446,0.829178,0.006859,0.094023,1.880327,0.028745
0.549814,0.045761,0.834394,0.006977,0.093908,1.880329,0.029010
0.541923,0.046073,0.839536,0.007096,0.093793,1.880331,0.029275
0.533983,0.046382,0.844603,0.007215,0.093677,1.880333,0.029539
0.525996,0.046687,0.849597,0.007335,0.093559,1.880334,0.029804
0.517962,0.046989,0.854515,0.007455,0.093441,1.880336,0.030067
0.509883,0.047288,0.859357,0.007575,0.093321,1.880338,0.030331
0.501757,0.047583,0.864123,0.007697,0.093201,1.880340,0.030594
0.493588,0.047875,0.868813,0.007818,0.093079,1.880341,0.030856
0.485374,0.048164,0.873426,0.007940,0.092956,1.880343,0.031119
0.477117,0.048449,0.877962,0.008063,0.092833,1.880345,0.031381
0.468818,0.048731,0.882420,0.008186,0.092708,1.880347,0.031642
0.460477,0.049009,0.886801,0.008310,0.092582,1.880349,0.031904
0.452095,0.049283,0.891102,0.008433,0.092455,1.880351,0.032165
